,time,dataset,subject,n_samples,pipeline
0,0.36087656021118164,Schirrmeister2017,1,6360,EEGNetv4_EA
1,0.3618912696838379,Schirrmeister2017,1,6360,EEGNetv4_RA
2,0.34905219078063965,Schirrmeister2017,2,6120,EEGNetv4_EA
3,0.3481323719024658,Schirrmeister2017,2,6120,EEGNetv4_RA
4,0.35007715225219727,Schirrmeister2017,3,6096,EEGNetv4_EA
5,0.3490595817565918,Schirrmeister2017,3,6096,EEGNetv4_RA
6,0.34893369674682617,Schirrmeister2017,4,6072,EEGNetv4_EA
7,0.3445472717285156,Schirrmeister2017,4,6072,EEGNetv4_RA
8,0.3510894775390625,Schirrmeister2017,5,6168,EEGNetv4_EA
9,0.35194826126098633,Schirrmeister2017,5,6168,EEGNetv4_RA
10,0.3479890823364258,Schirrmeister2017,6,6096,EEGNetv4_EA
11,0.3478548526763916,Schirrmeister2017,6,6096,EEGNetv4_RA
12,0.3482034206390381,Schirrmeister2017,7,6096,EEGNetv4_EA
13,0.3457918167114258,Schirrmeister2017,7,6096,EEGNetv4_RA
14,0.34348082542419434,Schirrmeister2017,8,6192,EEGNetv4_EA
15,0.34110498428344727,Schirrmeister2017,8,6192,EEGNetv4_RA
16,0.33879899978637695,Schirrmeister2017,9,6096,EEGNetv4_EA
17,0.3334012031555176,Schirrmeister2017,9,6096,EEGNetv4_RA
18,0.3342909812927246,Schirrmeister2017,10,6096,EEGNetv4_EA
19,0.33018922805786133,Schirrmeister2017,10,6096,EEGNetv4_RA
20,0.3308753967285156,Schirrmeister2017,11,6096,EEGNetv4_EA
21,0.33130645751953125,Schirrmeister2017,11,6096,EEGNetv4_RA
22,0.3309624195098877,Schirrmeister2017,12,6096,EEGNetv4_EA
23,0.32982301712036133,Schirrmeister2017,12,6096,EEGNetv4_RA
24,0.33104610443115234,Schirrmeister2017,13,6120,EEGNetv4_EA
25,0.33614397048950195,Schirrmeister2017,13,6120,EEGNetv4_RA
26,0.33057332038879395,Schirrmeister2017,14,6096,EEGNetv4_EA
27,0.32964539527893066,Schirrmeister2017,14,6096,EEGNetv4_RA
