,time,subject,n_train_runs,session,score,n_samples,n_channels,dataset,pipeline
0,37.54543328285217,1,1,both,0.8696952160493827,384,22,001-2014,EEGNetv4_EA
1,74.58842396736145,1,2,both,0.8761574074074074,768,22,001-2014,EEGNetv4_EA
2,90.04627776145935,1,3,both,0.8795814043209876,1152,22,001-2014,EEGNetv4_EA
3,218.96237421035767,1,4,both,0.9412133487654321,1536,22,001-2014,EEGNetv4_EA
4,270.65600514411926,1,5,both,0.9287712191358025,1920,22,001-2014,EEGNetv4_EA
5,329.97239661216736,1,6,both,0.9329185956790124,2304,22,001-2014,EEGNetv4_EA
6,61.53956699371338,2,1,both,0.5554108796296297,384,22,001-2014,EEGNetv4_EA
7,150.4058060646057,2,2,both,0.6242766203703703,768,22,001-2014,EEGNetv4_EA
8,255.82080149650574,2,3,both,0.62914737654321,1152,22,001-2014,EEGNetv4_EA
9,315.3704779148102,2,4,both,0.6377797067901235,1536,22,001-2014,EEGNetv4_EA
10,479.8153405189514,2,5,both,0.7007137345679012,1920,22,001-2014,EEGNetv4_EA
11,496.16129183769226,2,6,both,0.6440972222222222,2304,22,001-2014,EEGNetv4_EA
12,72.26621985435486,3,1,both,0.9730902777777778,384,22,001-2014,EEGNetv4_EA
13,202.41151475906372,3,2,both,0.982349537037037,768,22,001-2014,EEGNetv4_EA
14,259.3351831436157,3,3,both,0.9925733024691358,1152,22,001-2014,EEGNetv4_EA
15,380.41199827194214,3,4,both,0.9930073302469136,1536,22,001-2014,EEGNetv4_EA
16,550.4666304588318,3,5,both,0.9930073302469136,1920,22,001-2014,EEGNetv4_EA
17,432.8343527317047,3,6,both,0.9916087962962963,2304,22,001-2014,EEGNetv4_EA
18,67.88152265548706,4,1,both,0.7378472222222221,384,22,001-2014,EEGNetv4_EA
19,169.04904103279114,4,2,both,0.724633487654321,768,22,001-2014,EEGNetv4_EA
20,235.80512881278992,4,3,both,0.7366898148148149,1152,22,001-2014,EEGNetv4_EA
21,388.4627776145935,4,4,both,0.7569444444444444,1536,22,001-2014,EEGNetv4_EA
22,386.2826073169708,4,5,both,0.7777777777777778,1920,22,001-2014,EEGNetv4_EA
23,451.8204560279846,4,6,both,0.7725212191358025,2304,22,001-2014,EEGNetv4_EA
24,25.613216161727905,5,1,both,0.5187114197530864,384,22,001-2014,EEGNetv4_EA
25,150.2719485759735,5,2,both,0.6292920524691359,768,22,001-2014,EEGNetv4_EA
26,279.32328510284424,5,3,both,0.6231192129629629,1152,22,001-2014,EEGNetv4_EA
27,306.6823272705078,5,4,both,0.6601080246913581,1536,22,001-2014,EEGNetv4_EA
28,472.99286818504333,5,5,both,0.6666666666666666,1920,22,001-2014,EEGNetv4_EA
29,474.5482223033905,5,6,both,0.6657021604938271,2304,22,001-2014,EEGNetv4_EA
30,38.423203468322754,6,1,both,0.5422453703703703,384,22,001-2014,EEGNetv4_EA
31,111.28626680374146,6,2,both,0.7918595679012346,768,22,001-2014,EEGNetv4_EA
32,264.0711364746094,6,3,both,0.7799961419753086,1152,22,001-2014,EEGNetv4_EA
33,361.1580448150635,6,4,both,0.7938850308641975,1536,22,001-2014,EEGNetv4_EA
34,380.464439868927,6,5,both,0.8049768518518519,1920,22,001-2014,EEGNetv4_EA
35,683.0321638584137,6,6,both,0.8349729938271605,2304,22,001-2014,EEGNetv4_EA
36,74.8770821094513,7,1,both,0.6536458333333333,384,22,001-2014,EEGNetv4_EA
37,90.91869306564331,7,2,both,0.6887538580246914,768,22,001-2014,EEGNetv4_EA
38,161.0590741634369,7,3,both,0.697000385802469,1152,22,001-2014,EEGNetv4_EA
39,173.40238738059998,7,4,both,0.6826774691358025,1536,22,001-2014,EEGNetv4_EA
40,230.51001405715942,7,5,both,0.7481674382716049,1920,22,001-2014,EEGNetv4_EA
41,433.3892443180084,7,6,both,0.8093653549382716,2304,22,001-2014,EEGNetv4_EA
42,62.20657444000244,8,1,both,0.9145447530864197,384,22,001-2014,EEGNetv4_EA
43,76.2447760105133,8,2,both,0.9289641203703703,768,22,001-2014,EEGNetv4_EA
44,154.28464794158936,8,3,both,0.9698109567901234,1152,22,001-2014,EEGNetv4_EA
45,236.16794443130493,8,4,both,0.951340663580247,1536,22,001-2014,EEGNetv4_EA
46,405.2045865058899,8,5,both,0.9725597993827161,1920,22,001-2014,EEGNetv4_EA
47,266.033887386322,8,6,both,0.9659529320987654,2304,22,001-2014,EEGNetv4_EA
48,66.27105569839478,9,1,both,0.864969135802469,384,22,001-2014,EEGNetv4_EA
49,97.72827363014221,9,2,both,0.8674286265432098,768,22,001-2014,EEGNetv4_EA
50,153.6027648448944,9,3,both,0.8679591049382716,1152,22,001-2014,EEGNetv4_EA
51,309.8984160423279,9,4,both,0.8353105709876544,1536,22,001-2014,EEGNetv4_EA
52,241.2486252784729,9,5,both,0.7969232253086419,1920,22,001-2014,EEGNetv4_EA
53,275.95633244514465,9,6,both,0.8675733024691358,2304,22,001-2014,EEGNetv4_EA
