,time,subject,test,session,score,n_samples,n_channels,dataset,pipeline
0,56.937896490097046,1,2,both,0.47762345679012347,288,22,001-2014,EEGNetv4_EA
1,56.937896490097046,1,3,both,0.9794560185185185,288,22,001-2014,EEGNetv4_EA
2,56.937896490097046,1,4,both,0.7002797067901234,288,22,001-2014,EEGNetv4_EA
3,56.937896490097046,1,5,both,0.5471643518518519,288,22,001-2014,EEGNetv4_EA
4,56.937896490097046,1,6,both,0.6942997685185185,288,22,001-2014,EEGNetv4_EA
5,56.937896490097046,1,7,both,0.6439043209876543,288,22,001-2014,EEGNetv4_EA
6,56.937896490097046,1,8,both,0.8466435185185186,288,22,001-2014,EEGNetv4_EA
7,56.937896490097046,1,9,both,0.6204185956790123,288,22,001-2014,EEGNetv4_EA
8,51.432485818862915,2,1,both,0.564766589506173,288,22,001-2014,EEGNetv4_EA
9,51.432485818862915,2,3,both,0.4976369598765432,288,22,001-2014,EEGNetv4_EA
10,51.432485818862915,2,4,both,0.5248842592592593,288,22,001-2014,EEGNetv4_EA
11,51.432485818862915,2,5,both,0.4817708333333333,288,22,001-2014,EEGNetv4_EA
12,51.432485818862915,2,6,both,0.5401716820987655,288,22,001-2014,EEGNetv4_EA
13,51.432485818862915,2,7,both,0.4699556327160494,288,22,001-2014,EEGNetv4_EA
14,51.432485818862915,2,8,both,0.6535011574074074,288,22,001-2014,EEGNetv4_EA
15,51.432485818862915,2,9,both,0.5343364197530864,288,22,001-2014,EEGNetv4_EA
16,54.7764847278595,3,1,both,0.9190779320987654,288,22,001-2014,EEGNetv4_EA
17,54.7764847278595,3,2,both,0.5418113425925926,288,22,001-2014,EEGNetv4_EA
18,54.7764847278595,3,4,both,0.7517361111111112,288,22,001-2014,EEGNetv4_EA
19,54.7764847278595,3,5,both,0.5537229938271604,288,22,001-2014,EEGNetv4_EA
20,54.7764847278595,3,6,both,0.7333381558641976,288,22,001-2014,EEGNetv4_EA
21,54.7764847278595,3,7,both,0.6469425154320988,288,22,001-2014,EEGNetv4_EA
22,54.7764847278595,3,8,both,0.8656925154320987,288,22,001-2014,EEGNetv4_EA
23,54.7764847278595,3,9,both,0.8328510802469136,288,22,001-2014,EEGNetv4_EA
24,47.7382447719574,4,1,both,0.6263985339506173,288,22,001-2014,EEGNetv4_EA
25,47.7382447719574,4,2,both,0.5947145061728395,288,22,001-2014,EEGNetv4_EA
26,47.7382447719574,4,3,both,0.7385706018518519,288,22,001-2014,EEGNetv4_EA
27,47.7382447719574,4,5,both,0.5739293981481481,288,22,001-2014,EEGNetv4_EA
28,47.7382447719574,4,6,both,0.6052758487654321,288,22,001-2014,EEGNetv4_EA
29,47.7382447719574,4,7,both,0.6561053240740741,288,22,001-2014,EEGNetv4_EA
30,47.7382447719574,4,8,both,0.7251157407407407,288,22,001-2014,EEGNetv4_EA
31,47.7382447719574,4,9,both,0.833960262345679,288,22,001-2014,EEGNetv4_EA
32,30.500616788864136,5,1,both,0.4693287037037037,288,22,001-2014,EEGNetv4_EA
33,30.500616788864136,5,2,both,0.546778549382716,288,22,001-2014,EEGNetv4_EA
34,30.500616788864136,5,3,both,0.5290798611111112,288,22,001-2014,EEGNetv4_EA
35,30.500616788864136,5,4,both,0.5266685956790124,288,22,001-2014,EEGNetv4_EA
36,30.500616788864136,5,6,both,0.4956597222222222,288,22,001-2014,EEGNetv4_EA
37,30.500616788864136,5,7,both,0.6058063271604939,288,22,001-2014,EEGNetv4_EA
38,30.500616788864136,5,8,both,0.5808256172839507,288,22,001-2014,EEGNetv4_EA
39,30.500616788864136,5,9,both,0.5751350308641976,288,22,001-2014,EEGNetv4_EA
40,35.34378147125244,6,1,both,0.6807002314814815,288,22,001-2014,EEGNetv4_EA
41,35.34378147125244,6,2,both,0.5175057870370371,288,22,001-2014,EEGNetv4_EA
42,35.34378147125244,6,3,both,0.8905285493827161,288,22,001-2014,EEGNetv4_EA
43,35.34378147125244,6,4,both,0.6584683641975309,288,22,001-2014,EEGNetv4_EA
44,35.34378147125244,6,5,both,0.5002411265432098,288,22,001-2014,EEGNetv4_EA
45,35.34378147125244,6,7,both,0.607542438271605,288,22,001-2014,EEGNetv4_EA
46,35.34378147125244,6,8,both,0.8930844907407407,288,22,001-2014,EEGNetv4_EA
47,35.34378147125244,6,9,both,0.7351948302469136,288,22,001-2014,EEGNetv4_EA
48,56.2588164806366,7,1,both,0.5165895061728395,288,22,001-2014,EEGNetv4_EA
49,56.2588164806366,7,2,both,0.5126350308641976,288,22,001-2014,EEGNetv4_EA
50,56.2588164806366,7,3,both,0.593701774691358,288,22,001-2014,EEGNetv4_EA
51,56.2588164806366,7,4,both,0.5717110339506173,288,22,001-2014,EEGNetv4_EA
52,56.2588164806366,7,5,both,0.5853105709876543,288,22,001-2014,EEGNetv4_EA
53,56.2588164806366,7,6,both,0.5967881944444444,288,22,001-2014,EEGNetv4_EA
54,56.2588164806366,7,8,both,0.7134452160493827,288,22,001-2014,EEGNetv4_EA
55,56.2588164806366,7,9,both,0.7948495370370371,288,22,001-2014,EEGNetv4_EA
56,50.18856072425842,8,1,both,0.8284625771604938,288,22,001-2014,EEGNetv4_EA
57,50.18856072425842,8,2,both,0.6545621141975307,288,22,001-2014,EEGNetv4_EA
58,50.18856072425842,8,3,both,0.9515817901234568,288,22,001-2014,EEGNetv4_EA
59,50.18856072425842,8,4,both,0.7334587191358025,288,22,001-2014,EEGNetv4_EA
60,50.18856072425842,8,5,both,0.5637538580246914,288,22,001-2014,EEGNetv4_EA
61,50.18856072425842,8,6,both,0.6978684413580246,288,22,001-2014,EEGNetv4_EA
62,50.18856072425842,8,7,both,0.5422935956790124,288,22,001-2014,EEGNetv4_EA
63,50.18856072425842,8,9,both,0.8855613425925926,288,22,001-2014,EEGNetv4_EA
64,49.42632293701172,9,1,both,0.5951485339506173,288,22,001-2014,EEGNetv4_EA
65,49.42632293701172,9,2,both,0.5529031635802469,288,22,001-2014,EEGNetv4_EA
66,49.42632293701172,9,3,both,0.8913483796296294,288,22,001-2014,EEGNetv4_EA
67,49.42632293701172,9,4,both,0.6505111882716049,288,22,001-2014,EEGNetv4_EA
68,49.42632293701172,9,5,both,0.5427758487654322,288,22,001-2014,EEGNetv4_EA
69,49.42632293701172,9,6,both,0.6657503858024691,288,22,001-2014,EEGNetv4_EA
70,49.42632293701172,9,7,both,0.6218171296296295,288,22,001-2014,EEGNetv4_EA
71,49.42632293701172,9,8,both,0.8543113425925926,288,22,001-2014,EEGNetv4_EA
