,time,dataset,subject,n_samples,pipeline
0,0.1302485466003418,001-2014,1,2304,Deep4Net_EA
1,0.12540149688720703,001-2014,1,2304,Deep4Net_RA
2,0.13107848167419434,001-2014,2,2304,Deep4Net_EA
3,0.12648773193359375,001-2014,2,2304,Deep4Net_RA
4,0.1259760856628418,001-2014,3,2304,Deep4Net_EA
5,0.1267383098602295,001-2014,3,2304,Deep4Net_RA
6,0.12581968307495117,001-2014,4,2304,Deep4Net_EA
7,0.12639999389648438,001-2014,4,2304,Deep4Net_RA
8,0.126129150390625,001-2014,5,2304,Deep4Net_EA
9,0.1258563995361328,001-2014,5,2304,Deep4Net_RA
10,0.12660574913024902,001-2014,6,2304,Deep4Net_EA
11,0.12673258781433105,001-2014,6,2304,Deep4Net_RA
12,0.1269545555114746,001-2014,7,2304,Deep4Net_EA
13,0.12838244438171387,001-2014,7,2304,Deep4Net_RA
14,0.12743020057678223,001-2014,8,2304,Deep4Net_EA
15,0.12788152694702148,001-2014,8,2304,Deep4Net_RA
16,0.12712311744689941,001-2014,9,2304,Deep4Net_EA
17,0.12767887115478516,001-2014,9,2304,Deep4Net_RA
