,time,dataset,subject,n_samples,pipeline
0,0.2977416515350342,001-2014,1,2304,EEGNetv4_EA
1,0.30243372917175293,001-2014,1,2304,EEGNetv4_RA
2,0.29994702339172363,001-2014,2,2304,EEGNetv4_EA
3,0.2967815399169922,001-2014,2,2304,EEGNetv4_RA
4,0.29330897331237793,001-2014,3,2304,EEGNetv4_EA
5,0.2924978733062744,001-2014,3,2304,EEGNetv4_RA
6,0.2960193157196045,001-2014,4,2304,EEGNetv4_EA
7,0.2962615489959717,001-2014,4,2304,EEGNetv4_RA
8,0.37421107292175293,001-2014,5,2304,EEGNetv4_EA
9,0.30568408966064453,001-2014,5,2304,EEGNetv4_RA
10,0.3593897819519043,001-2014,6,2304,EEGNetv4_EA
11,0.33007335662841797,001-2014,6,2304,EEGNetv4_RA
12,0.3154933452606201,001-2014,7,2304,EEGNetv4_EA
13,0.31395745277404785,001-2014,7,2304,EEGNetv4_RA
14,0.3121030330657959,001-2014,8,2304,EEGNetv4_EA
15,0.3110826015472412,001-2014,8,2304,EEGNetv4_RA
16,0.31202149391174316,001-2014,9,2304,EEGNetv4_EA
17,0.30217480659484863,001-2014,9,2304,EEGNetv4_RA
