,time,dataset,test,session,score,type,ft,n_samples,n_channels,exp
0,0.20578932762145996,Schirrmeister2017,1,session_0,0.6666666666666666,Online,Without,6360,22,online_3
1,0.14441299438476562,Schirrmeister2017,2,session_0,0.5964912280701754,Online,Without,6120,22,online_3
2,0.14389324188232422,Schirrmeister2017,3,session_0,0.8020833333333334,Online,Without,6096,22,online_3
3,0.1424269676208496,Schirrmeister2017,4,session_0,0.9285714285714286,Online,Without,6072,22,online_3
4,0.1426229476928711,Schirrmeister2017,5,session_0,0.625,Online,Without,6168,22,online_3
5,0.14262175559997559,Schirrmeister2017,6,session_0,0.5541666666666667,Online,Without,6096,22,online_3
6,0.14303874969482422,Schirrmeister2017,7,session_0,0.5125,Online,Without,6096,22,online_3
7,0.1427016258239746,Schirrmeister2017,8,session_0,0.6536458333333334,Online,Without,6192,22,online_3
8,0.14408302307128906,Schirrmeister2017,9,session_0,0.5625,Online,Without,6096,22,online_3
9,0.14303350448608398,Schirrmeister2017,10,session_0,0.9166666666666666,Online,Without,6096,22,online_3
10,0.14294743537902832,Schirrmeister2017,11,session_0,0.5041666666666667,Online,Without,6096,22,online_3
11,0.1425797939300537,Schirrmeister2017,12,session_0,0.8375,Online,Without,6096,22,online_3
12,0.14225292205810547,Schirrmeister2017,13,session_0,0.5570175438596491,Online,Without,6120,22,online_3
13,0.14246582984924316,Schirrmeister2017,14,session_0,0.7375,Online,Without,6096,22,online_3
